diffusion_coeff,seed,T_warmup,T_stat,B,P_min,P_max,KL_R_M_corr,KL_S_M_corr,KL_Mk_M_corr,KL_R_M_naive,KL_S_M_naive,KL_Mk_M_naive,delta_sigma_R_corr,delta_sigma_Mk_corr,delta_sigma_R_naive,delta_sigma_Mk_naive,Delta_kappa_corr,Delta_kappa_naive,K_R_nonempty,K_S_nonempty,K_M_nonempty,K_Mk_nonempty,laplace_bins_R,laplace_bins_S,laplace_bins_Mk,clip_events_R,clip_events_S,clip_events_M,clip_events_Mk
0.005000000000,4020,5000,50000,64,0.000000000000,1.000000000000,0.122146252496,0.399088482163,1.177818669809,0.122144064996,0.399088482180,1.177818669833,-0.276942229667,0.778730187647,-0.276944417184,0.778730187653,1.055672417313,1.055674604837,40,60,54,62,0,6,8,0,0,0,0
0.005000000000,4021,5000,50000,64,0.000000000000,1.000000000000,0.090191432526,0.287755241244,0.814241830963,0.090188932526,0.287755241252,0.814241830978,-0.197563808717,0.526486589719,-0.197566308726,0.526486589725,0.724050398436,0.724052898452,42,61,58,63,0,3,5,0,0,0,0
0.005000000000,4022,5000,50000,64,0.000000000000,1.000000000000,0.088557742873,0.360398947481,0.687581857564,0.088555399123,0.360398947496,0.687581857582,-0.271841204607,0.327182910083,-0.271843548372,0.327182910086,0.599024114690,0.599026458458,42,62,57,63,0,5,6,0,0,0,0
0.005000000000,4023,5000,50000,64,0.000000000000,1.000000000000,0.079643951035,0.128600271735,0.434712829663,0.079641451035,0.128600271744,0.434712829671,-0.048956320699,0.306112557928,-0.048958820708,0.306112557928,0.355068878627,0.355071378636,41,60,57,60,0,3,3,0,0,0,0
0.005000000000,4024,5000,50000,64,0.000000000000,1.000000000000,0.179509543531,0.234314834520,0.670454799126,0.179507043531,0.234314834523,0.670454799138,-0.054805290989,0.436139964606,-0.054807790992,0.436139964615,0.490945255595,0.490947755607,41,58,57,61,0,1,4,0,0,0,0
0.005000000000,4025,5000,50000,64,0.000000000000,1.000000000000,0.084444911038,0.154688602820,0.409106316199,0.084442254788,0.154688602831,0.409106316211,-0.070243691782,0.254417713380,-0.070246348043,0.254417713380,0.324661405162,0.324664061423,38,59,55,59,0,4,4,0,0,0,0
0.005000000000,4026,5000,50000,64,0.000000000000,1.000000000000,0.219354514095,0.380050202024,0.917180166752,0.219351545345,0.380050202033,0.917180166764,-0.160695687929,0.537129964728,-0.160698656688,0.537129964731,0.697825652657,0.697828621419,39,61,58,62,0,3,4,0,0,0,0
0.005000000000,4027,5000,50000,64,0.000000000000,1.000000000000,0.135612586958,0.339841556242,0.751100043332,0.135610399458,0.339841556257,0.751100043353,-0.204228969285,0.411258487089,-0.204231156800,0.411258487096,0.615487456374,0.615489643896,43,62,57,64,0,5,7,0,0,0,0
0.005000000000,4028,5000,50000,64,0.000000000000,1.000000000000,0.175632210667,0.327056778934,0.731183363872,0.175629866917,0.327056778952,0.731183363896,-0.151424568268,0.404126584938,-0.151426912035,0.404126584944,0.555551153205,0.555553496979,39,60,54,62,0,6,8,0,0,0,0
0.005000000000,4029,5000,50000,64,0.000000000000,1.000000000000,0.070161298021,0.293605832172,0.718419734252,0.070159266771,0.293605832189,0.718419734277,-0.223444534151,0.424813902081,-0.223446565419,0.424813902087,0.648258436232,0.648260467506,42,61,55,63,0,6,8,0,0,0,0
0.020000000000,4000,5000,50000,64,0.000000000000,1.000000000000,0.053233434320,0.053872971664,0.436854347302,0.053231871820,0.053872971667,0.436854347311,-0.000639537344,0.382981375638,-0.000641099847,0.382981375644,0.383620912982,0.383622475491,47,58,57,60,0,1,3,0,0,0,0
0.020000000000,4001,5000,50000,64,0.000000000000,1.000000000000,0.105044001013,0.163504303514,0.503522458940,0.105041501013,0.163504303526,0.503522458954,-0.058460302501,0.340018155426,-0.058462802513,0.340018155429,0.398478457927,0.398480957941,39,59,55,60,0,4,5,0,0,0,0
0.020000000000,4002,5000,50000,64,0.000000000000,1.000000000000,0.075281113380,0.524288293785,0.713691254036,0.075278457130,0.524288293802,0.713691254054,-0.449007180404,0.189402960252,-0.449009836672,0.189402960252,0.638410140656,0.638412796924,38,61,55,61,0,6,6,0,0,0,0
0.020000000000,4003,5000,50000,64,0.000000000000,1.000000000000,0.124647614843,0.109133501677,0.167602229309,0.124644802343,0.109133501686,0.167602229318,0.015514113166,0.058468727632,0.015511300657,0.058468727632,0.042954614466,0.042957426975,39,60,57,60,0,3,3,0,0,0,0
0.020000000000,4004,5000,50000,64,0.000000000000,1.000000000000,0.115912367520,0.246916329563,0.509911650023,0.115909711270,0.246916329577,0.509911650040,-0.131003962043,0.262995320460,-0.131006618307,0.262995320463,0.393999282503,0.394001938771,37,59,54,60,0,5,6,0,0,0,0
0.020000000000,4005,5000,50000,64,0.000000000000,1.000000000000,0.049019474585,0.069880933083,0.365771314339,0.049017755835,0.069880933089,0.365771314347,-0.020861458498,0.295890381255,-0.020863177254,0.295890381258,0.316751839754,0.316753558512,44,57,55,58,0,2,3,0,0,0,0
0.020000000000,4006,5000,50000,64,0.000000000000,1.000000000000,0.213696237027,0.131768217879,0.533749290702,0.213693268277,0.131768217890,0.533749290720,0.081928019148,0.401981072823,0.081925050387,0.401981072830,0.320053053675,0.320056022443,36,59,55,61,0,4,6,0,0,0,0
0.020000000000,4007,5000,50000,64,0.000000000000,1.000000000000,0.065258033645,0.182293112799,0.551532392912,0.065256002395,0.182293112810,0.551532392930,-0.117035079153,0.369239280113,-0.117037110415,0.369239280120,0.486274359267,0.486276390534,43,60,56,62,0,4,6,0,0,0,0
0.020000000000,4008,5000,50000,64,0.000000000000,1.000000000000,0.127430849390,0.118163868716,0.557031654559,0.127428505640,0.118163868721,0.557031654571,0.009266980675,0.438867785844,0.009264636919,0.438867785850,0.429600805169,0.429603148931,41,58,56,60,0,2,4,0,0,0,0
0.020000000000,4009,5000,50000,64,0.000000000000,1.000000000000,0.091014321331,0.813065345661,0.939417991169,0.091011977581,0.813065345690,0.939417991208,-0.722051024331,0.126352645507,-0.722053368109,0.126352645518,0.848403669838,0.848406013627,35,60,50,63,0,10,13,0,0,0,0
